image,Anthocyanin (mg/100g),TPC (mg GAE/g),TFC (mg QE/g),DPPH % Inhibition
Stage2 (129).jpg,537.22,48.23,5.96,75.32
Stage2 (130).jpg,537.42,48.43,6.16,75.52
Stage2 (131).jpg,537.62,48.63,6.36,75.72
Stage2 (132).jpg,537.82,48.83,6.56,75.92
Stage2 (133).jpg,538.02,49.03,6.76,76.12
Stage2 (134).jpg,538.22,49.23,6.96,76.32
Stage2 (135).jpg,538.42,49.43,7.16,76.52
Stage2 (136).jpg,538.62,49.63,7.36,76.72
Stage2 (137).jpg,538.82,49.83,7.56,76.92
Stage2 (138).jpg,539.02,50.03,7.76,77.12
Stage2 (139).jpg,539.22,50.23,7.96,77.32
Stage2 (140).jpg,539.42,50.43,8.16,77.52
Stage2 (141).jpg,536.22,47.23,4.96,74.32
Stage2 (142).jpg,536.42,47.43,5.16,74.52
Stage2 (143).jpg,536.62,47.63,5.36,74.72
Stage2 (144).jpg,536.82,47.83,5.56,74.92
Stage2 (145).jpg,537.02,48.03,5.76,75.12
Stage2 (146).jpg,537.22,48.23,5.96,75.32
Stage2 (147).jpg,537.42,48.43,6.16,75.52
Stage2 (148).jpg,537.62,48.63,6.36,75.72
Stage2 (149).jpg,537.82,48.83,6.56,75.92
Stage2 (150).jpg,538.02,49.03,6.76,76.12
Stage2 (151).jpg,538.22,49.23,6.96,76.32
Stage2 (152).jpg,538.42,49.43,7.16,76.52
Stage2 (153).jpg,535.02,46.03,3.76,73.12
Stage2 (154).jpg,535.22,46.23,3.96,73.32
Stage2 (155).jpg,535.42,46.43,4.16,73.52
Stage2 (156).jpg,535.62,46.63,4.36,73.72
Stage2 (157).jpg,535.82,46.83,4.56,73.92
Stage2 (158).jpg,536.02,47.03,4.76,74.12
Stage2 (159).jpg,536.22,47.23,4.96,74.32
Stage2 (160).jpg,536.42,47.43,5.16,74.52
Stage2 (161).jpg,536.62,47.63,5.36,74.72
Stage2 (162).jpg,536.82,47.83,5.56,74.92
Stage2 (163).jpg,537.02,48.03,5.76,75.12
Stage2 (164).jpg,536.22,47.23,4.96,74.32
Stage2 (165).jpg,536.42,47.43,5.16,74.52
Stage2 (166).jpg,536.62,47.63,5.36,74.72
Stage2 (167).jpg,536.82,47.83,5.56,74.92
Stage2 (168).jpg,537.02,48.03,5.76,75.12
Stage2 (169).jpg,537.22,48.23,5.96,75.32
Stage2 (170).jpg,537.42,48.43,6.16,75.52
Stage2 (171).jpg,537.62,48.63,6.36,75.72
Stage2 (172).jpg,537.82,48.83,6.56,75.92
Stage2 (173).jpg,538.02,49.03,6.76,76.12
Stage2 (174).jpg,538.22,49.23,6.96,76.32
Stage2 (175).jpg,538.42,49.43,7.16,76.52
Stage2 (176).jpg,535.02,46.03,3.76,73.12
Stage2 (177).jpg,535.22,46.23,3.96,73.32
Stage2 (178).jpg,535.42,46.43,4.16,73.52
Stage2 (179).jpg,535.62,46.63,4.36,73.72
Stage2 (180).jpg,535.82,46.83,4.56,73.92
Stage2 (181).jpg,536.02,47.03,4.76,74.12
Stage2 (182).jpg,536.22,47.23,4.96,74.32
Stage2 (183).jpg,536.42,47.43,5.16,74.52
Stage2 (184).jpg,536.62,47.63,5.36,74.72
Stage2 (185).jpg,536.82,47.83,5.56,74.92
Stage2 (186).jpg,537.02,48.03,5.76,75.12
Stage2 (187).jpg,537.22,48.23,5.96,75.32
Stage2 (188).jpg,537.22,48.23,5.96,75.32
Stage2 (189).jpg,537.42,48.43,6.16,75.52
Stage2 (190).jpg,537.62,48.63,6.36,75.72
Stage2 (191).jpg,537.82,48.83,6.56,75.92
Stage2 (192).jpg,538.02,49.03,6.76,76.12
Stage2 (193).jpg,538.22,49.23,6.96,76.32
Stage2 (194).jpg,538.42,49.43,7.16,76.52
Stage2 (195).jpg,538.62,49.63,7.36,76.72
Stage2 (196).jpg,538.82,49.83,7.56,76.92
Stage2 (197).jpg,539.02,50.03,7.76,77.12
Stage2 (198).jpg,535.42,46.43,4.16,73.52
Stage2 (199).jpg,535.62,46.63,4.36,73.72
Stage2 (200).jpg,535.82,46.83,4.56,73.92
Stage2 (201).jpg,536.02,47.03,4.76,74.12
Stage2 (202).jpg,536.22,47.23,4.96,74.32
Stage2 (203).jpg,536.42,47.43,5.16,74.52
Stage2 (204).jpg,536.62,47.63,5.36,74.72
Stage2 (205).jpg,536.82,47.83,5.56,74.92
Stage2 (206).jpg,536.22,47.23,4.96,74.32
Stage2 (207).jpg,536.42,47.43,5.16,74.52
Stage2 (208).jpg,536.62,47.63,5.36,74.72
Stage2 (209).jpg,536.82,47.83,5.56,74.92
Stage2 (210).jpg,537.02,48.03,5.76,75.12
Stage2 (211).jpg,537.22,48.23,5.96,75.32
Stage2 (212).jpg,537.42,48.43,6.16,75.52
Stage2 (213).jpg,537.62,48.63,6.36,75.72
Stage2 (214).jpg,537.82,48.83,6.56,75.92
Stage2 (215).jpg,538.02,49.03,6.76,76.12
Stage2 (216).jpg,538.22,49.23,6.96,76.32
Stage2 (217).jpg,538.42,49.43,7.16,76.52
Stage2 (218).jpg,535.02,46.03,3.76,73.12
Stage2 (219).jpg,535.22,46.23,3.96,73.32
Stage2 (220).jpg,535.42,46.43,4.16,73.52
Stage2 (221).jpg,535.62,46.63,4.36,73.72
Stage2 (222).jpg,535.82,46.83,4.56,73.92
Stage2 (223).jpg,536.02,47.03,4.76,74.12
Stage2 (224).jpg,536.22,47.23,4.96,74.32
Stage2 (225).jpg,536.42,47.43,5.16,74.52
Stage2 (226).jpg,536.62,47.63,5.36,74.72
Stage2 (227).jpg,536.82,47.83,5.56,74.92
Stage2 (228).jpg,537.02,48.03,5.76,75.12
Stage2 (229).jpg,537.22,48.23,5.96,75.32
Stage2 (230).jpg,537.22,48.23,5.96,75.32
Stage2 (231).jpg,537.42,48.43,6.16,75.52
Stage2 (232).jpg,537.62,48.63,6.36,75.72
Stage2 (233).jpg,537.82,48.83,6.56,75.92
Stage2 (234).jpg,538.02,49.03,6.76,76.12
Stage2 (235).jpg,538.22,49.23,6.96,76.32
Stage2 (236).jpg,538.42,49.43,7.16,76.52
Stage2 (237).jpg,538.62,49.63,7.36,76.72
Stage2 (238).jpg,538.82,49.83,7.56,76.92
Stage2 (239).jpg,539.02,50.03,7.76,77.12
Stage2 (240).jpg,535.42,46.43,4.16,73.52
Stage2 (241).jpg,535.62,46.63,4.36,73.72
Stage2 (242).jpg,535.82,46.83,4.56,73.92
Stage2 (243).jpg,536.02,47.03,4.76,74.12
Stage2 (244).jpg,536.22,47.23,4.96,74.32
Stage2 (245).jpg,536.42,47.43,5.16,74.52
Stage2 (246).jpg,536.62,47.63,5.36,74.72
Stage2 (247).jpg,536.82,47.83,5.56,74.92
Stage2 (248).jpg,537.02,48.03,5.76,75.12
Stage2 (249).jpg,537.22,48.23,5.96,75.32
Stage2 (250).jpg,536.22,47.23,4.96,74.32
Stage2 (251).jpg,536.42,47.43,5.16,74.52
Stage2 (252).jpg,536.62,47.63,5.36,74.72
Stage2 (253).jpg,536.82,47.83,5.56,74.92
Stage2 (254).jpg,537.02,48.03,5.76,75.12
Stage2 (255).jpg,537.22,48.23,5.96,75.32
Stage2 (256).jpg,537.42,48.43,6.16,75.52
Stage2 (257).jpg,537.62,48.63,6.36,75.72
Stage2 (258).jpg,537.82,48.83,6.56,75.92
Stage2 (259).jpg,538.02,49.03,6.76,76.12
Stage2 (260).jpg,538.22,49.23,6.96,76.32
Stage2 (261).jpg,538.42,49.43,7.16,76.52
Stage2 (262).jpg,535.02,46.03,3.76,73.12
Stage2 (263).jpg,535.22,46.23,3.96,73.32
Stage2 (264).jpg,535.42,46.43,4.16,73.52
Stage2 (265).jpg,535.62,46.63,4.36,73.72
Stage2 (266).jpg,535.82,46.83,4.56,73.92
Stage2 (267).jpg,536.02,47.03,4.76,74.12
Stage2 (268).jpg,536.22,47.23,4.96,74.32
Stage2 (269).jpg,536.42,47.43,5.16,74.52
Stage2 (270).jpg,536.62,47.63,5.36,74.72
Stage2 (271).jpg,536.82,47.83,5.56,74.92
Stage2 (272).jpg,537.02,48.03,5.76,75.12
Stage2 (273).jpg,537.22,48.23,5.96,75.32
Stage2 (274).jpg,537.22,48.23,5.96,75.32
Stage2 (275).jpg,537.42,48.43,6.16,75.52
Stage2 (276).jpg,537.62,48.63,6.36,75.72
Stage2 (277).jpg,537.82,48.83,6.56,75.92
Stage2 (278).jpg,538.02,49.03,6.76,76.12
Stage2 (279).jpg,538.22,49.23,6.96,76.32
Stage2 (280).jpg,538.42,49.43,7.16,76.52
Stage2 (281).jpg,538.62,49.63,7.36,76.72
Stage2 (282).jpg,538.82,49.83,7.56,76.92
Stage2 (283).jpg,539.02,50.03,7.76,77.12
Stage2 (284).jpg,535.42,46.43,4.16,73.52
Stage2 (285).jpg,535.62,46.63,4.36,73.72
Stage2 (286).jpg,535.82,46.83,4.56,73.92
Stage2 (287).jpg,536.02,47.03,4.76,74.12
Stage2 (288).jpg,536.22,47.23,4.96,74.32
Stage2 (289).jpg,536.42,47.43,5.16,74.52
Stage2 (290).jpg,536.62,47.63,5.36,74.72
Stage2 (291).jpg,536.82,47.83,5.56,74.92
Stage2 (292).jpg,537.02,48.03,5.76,75.12
Stage2 (293).jpg,537.22,48.23,5.96,75.32
Stage2 (294).jpg,537.42,48.43,6.16,75.52
Stage2 (295).jpg,537.62,48.63,6.36,75.72
Stage2 (296).jpg,537.82,48.83,6.56,75.92
Stage2 (297).jpg,538.02,49.03,6.76,76.12
Stage2 (298).jpg,538.22,49.23,6.96,76.32
Stage2 (299).jpg,536.22,47.23,4.96,74.32
Stage2 (300).jpg,536.42,47.43,5.16,74.52
Stage2 (301).jpg,536.62,47.63,5.36,74.72
Stage2 (302).jpg,536.82,47.83,5.56,74.92
Stage2 (303).jpg,537.02,48.03,5.76,75.12
Stage2 (304).jpg,537.22,48.23,5.96,75.32
Stage2 (305).jpg,537.42,48.43,6.16,75.52
Stage2 (306).jpg,537.62,48.63,6.36,75.72
Stage2 (307).jpg,537.82,48.83,6.56,75.92
Stage2 (308).jpg,538.02,49.03,6.76,76.12
Stage2 (309).jpg,538.22,49.23,6.96,76.32
Stage2 (310).jpg,538.42,49.43,7.16,76.52
Stage2 (311).jpg,535.02,46.03,3.76,73.12
Stage2 (312).jpg,535.22,46.23,3.96,73.32
Stage2 (313).jpg,535.42,46.43,4.16,73.52
Stage2 (314).jpg,535.62,46.63,4.36,73.72
Stage2 (315).jpg,535.82,46.83,4.56,73.92
Stage2 (316).jpg,536.02,47.03,4.76,74.12
Stage2 (317).jpg,536.22,47.23,4.96,74.32
Stage2 (318).jpg,536.42,47.43,5.16,74.52
Stage2 (319).jpg,536.62,47.63,5.36,74.72
Stage2 (320).jpg,536.82,47.83,5.56,74.92
Stage2 (321).jpg,537.02,48.03,5.76,75.12
Stage2 (322).jpg,537.22,48.23,5.96,75.32
Stage2 (323).jpg,537.22,48.23,5.96,75.32
Stage2 (324).jpg,537.42,48.43,6.16,75.52
Stage2 (325).jpg,537.62,48.63,6.36,75.72
Stage2 (326).jpg,537.82,48.83,6.56,75.92
Stage2 (327).jpg,538.02,49.03,6.76,76.12
Stage2 (328).jpg,538.22,49.23,6.96,76.32
Stage2 (329).jpg,538.42,49.43,7.16,76.52
Stage2 (330).jpg,538.62,49.63,7.36,76.72
Stage2 (331).jpg,538.82,49.83,7.56,76.92
Stage2 (332).jpg,539.02,50.03,7.76,77.12
Stage2 (333).jpg,535.42,46.43,4.16,73.52
Stage2 (334).jpg,535.62,46.63,4.36,73.72
Stage2 (335).jpg,535.82,46.83,4.56,73.92
Stage2 (336).jpg,536.02,47.03,4.76,74.12
Stage2 (337).jpg,536.22,47.23,4.96,74.32
Stage2 (338).jpg,536.42,47.43,5.16,74.52
Stage2 (339).jpg,536.62,47.63,5.36,74.72
Stage2 (340).jpg,536.82,47.83,5.56,74.92
Stage2 (341).jpg,537.02,48.03,5.76,75.12
Stage2 (342).jpg,537.22,48.23,5.96,75.32
Stage2 (343).jpg,537.42,48.43,6.16,75.52
Stage2 (344).jpg,537.62,48.63,6.36,75.72
Stage2 (345).jpg,537.82,48.83,6.56,75.92
Stage2 (346).jpg,538.02,49.03,6.76,76.12
Stage2 (347).jpg,538.22,49.23,6.96,76.32
Stage2 (348).jpg,538.42,49.43,7.16,76.52
Stage2 (349).jpg,538.62,49.63,7.36,76.72
Stage2 (350).jpg,538.82,49.83,7.56,76.92
Stage2 (351).jpg,539.02,50.03,7.76,77.12
Stage2 (352).jpg,536.22,47.23,4.96,74.32
Stage2 (353).jpg,536.42,47.43,5.16,74.52
Stage2 (354).jpg,536.62,47.63,5.36,74.72
Stage2 (355).jpg,536.82,47.83,5.56,74.92
Stage2 (356).jpg,537.02,48.03,5.76,75.12
Stage2 (357).jpg,537.22,48.23,5.96,75.32
Stage2 (358).jpg,537.42,48.43,6.16,75.52
Stage2 (359).jpg,537.62,48.63,6.36,75.72
Stage2 (360).jpg,537.82,48.83,6.56,75.92
Stage2 (361).jpg,538.02,49.03,6.76,76.12
Stage2 (362).jpg,538.22,49.23,6.96,76.32
Stage2 (363).jpg,538.42,49.43,7.16,76.52
Stage2 (364).jpg,535.02,46.03,3.76,73.12
Stage2 (365).jpg,535.22,46.23,3.96,73.32
Stage2 (366).jpg,535.42,46.43,4.16,73.52
Stage2 (367).jpg,535.62,46.63,4.36,73.72
Stage2 (368).jpg,535.82,46.83,4.56,73.92
Stage2 (369).jpg,536.02,47.03,4.76,74.12
Stage2 (370).jpg,536.22,47.23,4.96,74.32
Stage2 (371).jpg,536.42,47.43,5.16,74.52
Stage2 (372).jpg,536.62,47.63,5.36,74.72
Stage2 (373).jpg,536.82,47.83,5.56,74.92
Stage2 (374).jpg,537.02,48.03,5.76,75.12
Stage2 (375).jpg,537.22,48.23,5.96,75.32
Stage2 (376).jpg,537.22,48.23,5.96,75.32
Stage2 (377).jpg,537.42,48.43,6.16,75.52
Stage2 (378).jpg,537.62,48.63,6.36,75.72
Stage2 (379).jpg,537.82,48.83,6.56,75.92
Stage2 (380).jpg,538.02,49.03,6.76,76.12
Stage2 (381).jpg,538.22,49.23,6.96,76.32
Stage2 (382).jpg,538.42,49.43,7.16,76.52
Stage2 (383).jpg,538.62,49.63,7.36,76.72
Stage2 (384).jpg,538.82,49.83,7.56,76.92
Stage2 (385).jpg,539.02,50.03,7.76,77.12
Stage2 (386).jpg,535.42,46.43,4.16,73.52
Stage2 (387).jpg,535.62,46.63,4.36,73.72
Stage2 (388).jpg,535.82,46.83,4.56,73.92
Stage2 (389).jpg,536.02,47.03,4.76,74.12
Stage2 (390).jpg,536.22,47.23,4.96,74.32
Stage2 (391).jpg,536.42,47.43,5.16,74.52
Stage2 (392).jpg,536.62,47.63,5.36,74.72
Stage2 (393).jpg,536.82,47.83,5.56,74.92
Stage2 (394).jpg,537.02,48.03,5.76,75.12
Stage2 (395).jpg,537.22,48.23,5.96,75.32
Stage2 (396).jpg,537.42,48.43,6.16,75.52
Stage2 (397).jpg,537.62,48.63,6.36,75.72
Stage2 (398).jpg,537.82,48.83,6.56,75.92
Stage2 (399).jpg,538.02,49.03,6.76,76.12
Stage2 (400).jpg,538.22,49.23,6.96,76.32
Stage2 (401).jpg,538.42,49.43,7.16,76.52
Stage2 (402).jpg,538.62,49.63,7.36,76.72
Stage2 (403).jpg,538.82,49.83,7.56,76.92
Stage2 (404).jpg,539.02,50.03,7.76,77.12
Stage2 (405).jpg,539.22,50.23,7.96,77.32
Stage2 (406).jpg,539.42,50.43,8.16,77.52
Stage2 (407).jpg,536.22,47.23,4.96,74.32
Stage2 (408).jpg,536.42,47.43,5.16,74.52
Stage2 (409).jpg,536.62,47.63,5.36,74.72
Stage2 (410).jpg,536.82,47.83,5.56,74.92
Stage2 (411).jpg,537.02,48.03,5.76,75.12
Stage2 (412).jpg,537.22,48.23,5.96,75.32
Stage2 (413).jpg,537.42,48.43,6.16,75.52
Stage2 (414).jpg,537.62,48.63,6.36,75.72
Stage2 (415).jpg,537.82,48.83,6.56,75.92
Stage2 (416).jpg,538.02,49.03,6.76,76.12
Stage2 (417).jpg,538.22,49.23,6.96,76.32
Stage2 (418).jpg,538.42,49.43,7.16,76.52
Stage2 (419).jpg,535.02,46.03,3.76,73.12
Stage2 (420).jpg,535.22,46.23,3.96,73.32
Stage2 (421).jpg,535.42,46.43,4.16,73.52
Stage2 (422).jpg,535.62,46.63,4.36,73.72
Stage2 (423).jpg,535.82,46.83,4.56,73.92
Stage2 (424).jpg,536.02,47.03,4.76,74.12
Stage2 (425).jpg,536.22,47.23,4.96,74.32
Stage2 (426).jpg,536.42,47.43,5.16,74.52
Stage2 (427).jpg,536.62,47.63,5.36,74.72
Stage2 (428).jpg,536.82,47.83,5.56,74.92
Stage2 (429).jpg,537.02,48.03,5.76,75.12
Stage2 (430).jpg,537.22,48.23,5.96,75.32
Stage2 (431).jpg,537.22,48.23,5.96,75.32
Stage2 (432).jpg,537.42,48.43,6.16,75.52
Stage2 (433).jpg,537.62,48.63,6.36,75.72
Stage2 (434).jpg,537.82,48.83,6.56,75.92
Stage2 (435).jpg,538.02,49.03,6.76,76.12
Stage2 (436).jpg,538.22,49.23,6.96,76.32
Stage2 (437).jpg,538.42,49.43,7.16,76.52
Stage2 (438).jpg,538.62,49.63,7.36,76.72
Stage2 (439).jpg,538.82,49.83,7.56,76.92
Stage2 (440).jpg,539.02,50.03,7.76,77.12
Stage2 (441).jpg,535.42,46.43,4.16,73.52
Stage2 (442).jpg,535.62,46.63,4.36,73.72
Stage2 (443).jpg,535.82,46.83,4.56,73.92
Stage2 (444).jpg,536.02,47.03,4.76,74.12
Stage2 (445).jpg,536.22,47.23,4.96,74.32
Stage2 (446).jpg,536.42,47.43,5.16,74.52
Stage2 (447).jpg,536.62,47.63,5.36,74.72
Stage2 (448).jpg,536.82,47.83,5.56,74.92
Stage2 (449).jpg,537.02,48.03,5.76,75.12
Stage2 (450).jpg,537.22,48.23,5.96,75.32
Stage2 (451).jpg,537.42,48.43,6.16,75.52
Stage2 (452).jpg,537.62,48.63,6.36,75.72
Stage2 (453).jpg,537.82,48.83,6.56,75.92
Stage2 (454).jpg,538.02,49.03,6.76,76.12
Stage2 (455).jpg,538.22,49.23,6.96,76.32
Stage2 (456).jpg,538.42,49.43,7.16,76.52
Stage2 (457).jpg,538.62,49.63,7.36,76.72
Stage2 (458).jpg,538.82,49.83,7.56,76.92
Stage2 (459).jpg,539.02,50.03,7.76,77.12
Stage2 (460).jpg,539.22,50.23,7.96,77.32
Stage2 (461).jpg,539.42,50.43,8.16,77.52
Stage2 (462).jpg,536.62,47.63,5.36,74.72
Stage2 (463).jpg,536.02,47.03,4.76,74.12
Stage2 (464).jpg,536.22,47.23,4.96,74.32
Stage2 (465).jpg,536.42,47.43,5.16,74.52
Stage2 (466).jpg,536.62,47.63,5.36,74.72
Stage2 (467).jpg,536.82,47.83,5.56,74.92
Stage2 (468).jpg,537.02,48.03,5.76,75.12
Stage2 (469).jpg,537.22,48.23,5.96,75.32
Stage2 (470).jpg,537.42,48.43,6.16,75.52
Stage2 (471).jpg,537.62,48.63,6.36,75.72
Stage2 (472).jpg,537.82,48.83,6.56,75.92
Stage2 (473).jpg,538.02,49.03,6.76,76.12
Stage2 (474).jpg,538.22,49.23,6.96,76.32
Stage2 (475).jpg,538.42,49.43,7.16,76.52
Stage2 (476).jpg,538.62,49.63,7.36,76.72
Stage2 (477).jpg,538.82,49.83,7.56,76.92
Stage2 (478).jpg,539.02,50.03,7.76,77.12
Stage2 (479).jpg,539.22,50.23,7.96,77.32
Stage2 (480).jpg,539.42,50.43,8.16,77.52
Stage2 (481).jpg,536.62,47.63,5.36,74.72
Stage2 (482).jpg,536.22,47.23,4.96,74.32
Stage2 (483).jpg,536.42,47.43,5.16,74.52
Stage2 (484).jpg,536.62,47.63,5.36,74.72
Stage2 (485).jpg,536.82,47.83,5.56,74.92
Stage2 (486).jpg,537.02,48.03,5.76,75.12
Stage2 (487).jpg,537.22,48.23,5.96,75.32
Stage2 (488).jpg,537.42,48.43,6.16,75.52
Stage2 (489).jpg,537.62,48.63,6.36,75.72
Stage2 (490).jpg,537.82,48.83,6.56,75.92
Stage2 (491).jpg,538.02,49.03,6.76,76.12
Stage2 (492).jpg,538.22,49.23,6.96,76.32
Stage2 (493).jpg,538.42,49.43,7.16,76.52
Stage2 (494).jpg,535.02,46.03,3.76,73.12
Stage2 (495).jpg,535.22,46.23,3.96,73.32
Stage2 (496).jpg,535.42,46.43,4.16,73.52
Stage2 (497).jpg,535.62,46.63,4.36,73.72
Stage2 (498).jpg,535.82,46.83,4.56,73.92
Stage2 (499).jpg,536.02,47.03,4.76,74.12
Stage2 (500).jpg,536.22,47.23,4.96,74.32
Stage2 (501).jpg,536.42,47.43,5.16,74.52
Stage2 (502).jpg,536.62,47.63,5.36,74.72
Stage2 (503).jpg,536.82,47.83,5.56,74.92
Stage2 (504).jpg,537.02,48.03,5.76,75.12
Stage2 (505).jpg,537.22,48.23,5.96,75.32
Stage2 (506).jpg,537.22,48.23,5.96,75.32
Stage2 (507).jpg,537.42,48.43,6.16,75.52
Stage2 (508).jpg,537.62,48.63,6.36,75.72
Stage2 (509).jpg,537.82,48.83,6.56,75.92
Stage2 (510).jpg,538.02,49.03,6.76,76.12
Stage2 (511).jpg,538.22,49.23,6.96,76.32
Stage2 (512).jpg,538.42,49.43,7.16,76.52
Stage2 (513).jpg,538.62,49.63,7.36,76.72
Stage2 (514).jpg,538.82,49.83,7.56,76.92
Stage2 (515).jpg,539.02,50.03,7.76,77.12
Stage2 (516).jpg,535.42,46.43,4.16,73.52
Stage2 (517).jpg,535.62,46.63,4.36,73.72
Stage2 (518).jpg,535.82,46.83,4.56,73.92
Stage2 (519).jpg,536.02,47.03,4.76,74.12
Stage2 (520).jpg,536.22,47.23,4.96,74.32
Stage2 (521).jpg,536.42,47.43,5.16,74.52
Stage2 (522).jpg,536.62,47.63,5.36,74.72
Stage2 (523).jpg,536.82,47.83,5.56,74.92
Stage2 (524).jpg,537.02,48.03,5.76,75.12
Stage2 (525).jpg,537.22,48.23,5.96,75.32
Stage2 (526).jpg,537.42,48.43,6.16,75.52
Stage2 (527).jpg,537.62,48.63,6.36,75.72
Stage2 (528).jpg,537.82,48.83,6.56,75.92
Stage2 (529).jpg,538.02,49.03,6.76,76.12
Stage2 (530).jpg,538.22,49.23,6.96,76.32
Stage2 (531).jpg,538.42,49.43,7.16,76.52
Stage2 (532).jpg,538.62,49.63,7.36,76.72
Stage2 (533).jpg,538.82,49.83,7.56,76.92
Stage2 (534).jpg,539.02,50.03,7.76,77.12
Stage2 (535).jpg,539.22,50.23,7.96,77.32
Stage2 (536).jpg,539.42,50.43,8.16,77.52
Stage2 (537).jpg,536.62,47.63,5.36,74.72
Stage2 (538).jpg,537.82,48.83,6.56,75.92
Stage2 (539).jpg,538.02,49.03,6.76,76.12
Stage3 (1).jpg,641.33,37.88,2.91,60.55
Stage3 (2).jpg,641.53,38.08,3.11,60.75
Stage3 (3).jpg,641.73,38.28,3.31,60.95
Stage3 (4).jpg,641.93,38.48,3.51,61.15
Stage3 (5).jpg,642.13,38.68,3.71,61.35
Stage3 (6).jpg,642.33,38.88,3.91,61.55
Stage3 (7).jpg,642.53,39.08,4.11,61.75
Stage3 (8).jpg,642.73,39.28,4.31,61.95
Stage3 (9).jpg,642.93,39.48,4.51,62.15
Stage3 (10).jpg,643.13,39.68,4.71,62.35
Stage3 (11).jpg,643.33,39.88,4.91,62.55
Stage3 (12).jpg,643.53,40.08,5.11,62.75
Stage3 (13).jpg,643.73,40.28,5.31,62.95
Stage3 (14).jpg,643.93,40.48,5.51,63.15
Stage3 (15).jpg,644.13,40.68,5.71,63.35
Stage3 (16).jpg,644.33,40.88,5.91,63.55
Stage3 (17).jpg,644.53,41.08,6.11,63.75
Stage3 (18).jpg,644.73,41.28,6.31,63.95
Stage3 (19).jpg,644.93,41.48,6.51,64.15
Stage3 (20).jpg,645.13,41.68,6.71,64.35
Stage3 (21).jpg,645.33,41.88,6.91,64.55
Stage3 (22).jpg,645.53,42.08,7.11,64.75
Stage3 (23).jpg,645.73,42.28,7.31,64.95
Stage3 (24).jpg,645.93,42.48,7.51,65.15
Stage3 (25).jpg,641.33,37.88,2.91,60.55
Stage3 (26).jpg,641.53,38.08,3.11,60.75
Stage3 (27).jpg,641.73,38.28,3.31,60.95
Stage3 (28).jpg,641.93,38.48,3.51,61.15
Stage3 (29).jpg,642.13,38.68,3.71,61.35
Stage3 (30).jpg,642.33,38.88,3.91,61.55
Stage3 (31).jpg,642.53,39.08,4.11,61.75
Stage3 (32).jpg,642.73,39.28,4.31,61.95
Stage3 (33).jpg,642.93,39.48,4.51,62.15
Stage3 (34).jpg,643.13,39.68,4.71,62.35
Stage3 (35).jpg,643.33,39.88,4.91,62.55
Stage3 (36).jpg,643.53,40.08,5.11,62.75
Stage3 (37).jpg,643.73,40.28,5.31,62.95
Stage3 (38).jpg,643.93,40.48,5.51,63.15
Stage3 (39).jpg,644.13,40.68,5.71,63.35
Stage3 (40).jpg,644.33,40.88,5.91,63.55
Stage3 (41).jpg,644.53,41.08,6.11,63.75
Stage3 (42).jpg,644.73,41.28,6.31,63.95
Stage3 (43).jpg,644.93,41.48,6.51,64.15
Stage3 (44).jpg,645.13,41.68,6.71,64.35
Stage3 (45).jpg,645.33,41.88,6.91,64.55
Stage3 (46).jpg,645.53,42.08,7.11,64.75
Stage3 (47).jpg,645.73,42.28,7.31,64.95
Stage3 (48).jpg,645.93,42.48,7.51,65.15
Stage3 (49).jpg,644.13,40.68,5.71,63.35
Stage3 (50).jpg,644.33,40.88,5.91,63.55
Stage3 (51).jpg,644.53,41.08,6.11,63.75
Stage3 (52).jpg,644.73,41.28,6.31,63.95
Stage3 (53).jpg,644.93,41.48,6.51,64.15
Stage3 (54).jpg,645.13,41.68,6.71,64.35
Stage3 (55).jpg,645.33,41.88,6.91,64.55
Stage3 (56).jpg,645.53,42.08,7.11,64.75
Stage3 (57).jpg,645.73,42.28,7.31,64.95
Stage3 (58).jpg,645.93,42.48,7.51,65.15
Stage3 (59).jpg,641.33,37.88,2.91,60.55
Stage3 (60).jpg,641.53,38.08,3.11,60.75
Stage3 (61).jpg,641.73,38.28,3.31,60.95
Stage3 (62).jpg,641.93,38.48,3.51,61.15
Stage3 (63).jpg,644.13,40.68,5.71,63.35
Stage3 (64).jpg,644.33,40.88,5.91,63.55
Stage3 (65).jpg,644.53,41.08,6.11,63.75
Stage3 (66).jpg,644.73,41.28,6.31,63.95
Stage3 (67).jpg,644.93,41.48,6.51,64.15
Stage3 (68).jpg,645.13,41.68,6.71,64.35
Stage3 (69).jpg,645.33,41.88,6.91,64.55
Stage3 (70).jpg,645.53,42.08,7.11,64.75
Stage3 (71).jpg,645.73,42.28,7.31,64.95
Stage3 (72).jpg,645.93,42.48,7.51,65.15
Stage3 (73).jpg,641.33,37.88,2.91,60.55
Stage3 (74).jpg,641.53,38.08,3.11,60.75
Stage3 (75).jpg,641.73,38.28,3.31,60.95
Stage3 (76).jpg,641.93,38.48,3.51,61.15
Stage3 (77).jpg,642.13,38.68,3.71,61.35
Stage3 (78).jpg,642.33,38.88,3.91,61.55
Stage3 (79).jpg,642.53,39.08,4.11,61.75
Stage3 (80).jpg,642.73,39.28,4.31,61.95
Stage3 (81).jpg,642.93,39.48,4.51,62.15
Stage3 (82).jpg,643.13,39.68,4.71,62.35
Stage3 (83).jpg,643.33,39.88,4.91,62.55
Stage3 (84).jpg,643.53,40.08,5.11,62.75
Stage3 (85).jpg,644.13,40.68,5.71,63.35
Stage3 (86).jpg,644.33,40.88,5.91,63.55
Stage3 (87).jpg,644.53,41.08,6.11,63.75
